product_id,brand,category,gender,collection,silhouette,color,list_price
116,Moncler,Accessories,U,Pre-Fall,Minimal,Navy,561.71
117,Miu Miu,Bags,U,Pre-Fall,Slim,Navy,101.22
118,UGG,Outerwear,M,Resort,Oversized,Gray,136.3
119,Moncler,Tops,U,Collab,Maxi,Beige,44.02
120,Alexander McQueen,Bottoms,M,Fall/Winter,Wide-Leg,Black,238.83
121,Celine,Shoes,M,Pre-Fall,Micro,Gray,211.14
122,VETEMENTS,Outerwear,M,Spring/Summer,Sport,Navy,673.74
123,Chloé,Bags,W,Spring/Summer,Micro,Denim Blue,503.29
124,Palm Angels,Bags,M,Collab,Maxi,Pink,421.81
125,Versace,Accessories,M,Spring/Summer,Cropped,Beige,443.8
126,Marni,Tops,M,Collab,Slip,Gray,269.01
127,Kenzo,Tops,M,Spring/Summer,Slip,Denim Blue,35.0
128,Gucci,Bags,M,Spring/Summer,Sport,Gray,341.4
129,Miu Miu,Dresses,W,Capsule,Straight,Black,311.57
130,Celine,Tops,U,Spring/Summer,Boxy,White,830.3
131,Stone Island,Outerwear,W,Spring/Summer,Wide-Leg,Navy,388.47
132,Rick Owens,Tops,W,Spring/Summer,Slip,Denim Blue,189.65
133,Jacquemus,Shoes,W,Spring/Summer,Slip,Black,459.9
134,The Row,Shoes,M,Collab,Utility,Denim Blue,488.85
135,Kiko Kostadinov,Bottoms,M,Spring/Summer,Cropped,Pink,510.18
136,Saint Laurent,Accessories,M,Fall/Winter,Straight,Denim Blue,385.73
137,The Row,Dresses,M,Fall/Winter,Sport,Black,540.26
138,Kenzo,Dresses,M,Capsule,Sport,Navy,1047.01
139,Diesel,Bottoms,W,Collab,Straight,Gray,630.85
140,Maison Margiela,Bottoms,W,Pre-Fall,Slim,Green,207.42
141,Off-White,Bottoms,M,Collab,Straight,Black,888.43
142,Dries Van Noten,Bags,M,Resort,Cropped,Navy,538.85
143,Off-White,Bottoms,W,Fall/Winter,Minimal,Black,334.4
144,Comme des Garçons,Tops,W,Capsule,A-Line,Black,392.88
145,Givenchy,Bottoms,M,Collab,Straight,Black,448.12
146,Totême,Accessories,M,Fall/Winter,Boxy,Green,583.29
147,Balenciaga,Shoes,U,Collab,Tailored,Red,35.0
148,Dries Van Noten,Outerwear,W,Spring/Summer,Wide-Leg,White,254.67
149,Fendi,Bottoms,M,Spring/Summer,Maxi,Black,194.32
150,Prada,Bottoms,W,Resort,Slip,Gray,768.82
151,Fear of God,Outerwear,M,Spring/Summer,A-Line,Black,263.18
152,Fear of God,Accessories,W,Resort,Oversized,Black,195.47
153,Burberry,Accessories,M,Fall/Winter,A-Line,Denim Blue,682.26
154,Diesel,Outerwear,M,Capsule,Boxy,Brown,902.25
155,VETEMENTS,Dresses,M,Spring/Summer,Tailored,Gray,769.44
156,Ralph Lauren,Tops,M,Spring/Summer,A-Line,Beige,609.85
157,Kenzo,Tops,M,Pre-Fall,Wide-Leg,Pink,549.51
158,Miu Miu,Tops,W,Capsule,Wide-Leg,White,161.77
159,Comme des Garçons,Outerwear,W,Spring/Summer,Minimal,Green,374.65
160,Gucci,Shoes,M,Resort,A-Line,Metallic,219.66
161,Miu Miu,Bottoms,U,Fall/Winter,Utility,Denim Blue,383.45
162,Loewe,Shoes,W,Collab,Utility,Black,307.04
163,Zimmermann,Bags,M,Fall/Winter,Oversized,White,68.0
164,JW Anderson,Dresses,W,Collab,A-Line,Navy,417.89
165,Rick Owens,Bottoms,W,Fall/Winter,Straight,Black,319.91
166,Versace,Outerwear,M,Fall/Winter,Sport,Gray,179.72
167,Jacquemus,Shoes,M,Spring/Summer,Micro,Beige,99.55
168,Bottega Veneta,Shoes,M,Capsule,Sport,Pink,285.1
169,Moncler,Bags,U,Collab,Maxi,Brown,56.13
170,Ralph Lauren,Outerwear,W,Pre-Fall,Straight,Black,35.0
171,Kenzo,Outerwear,U,Spring/Summer,A-Line,Gray,441.03
172,Palm Angels,Bags,W,Spring/Summer,A-Line,Navy,390.21
173,Alexander McQueen,Shoes,W,Fall/Winter,Cropped,Navy,452.09
174,Miu Miu,Outerwear,W,Collab,Oversized,Black,823.79
175,Jacquemus,Shoes,W,Pre-Fall,Minimal,Red,429.18
176,Off-White,Tops,M,Spring/Summer,Utility,Green,676.76
177,UGG,Shoes,W,Spring/Summer,Slip,Gray,35.0
178,The Row,Dresses,U,Fall/Winter,Maxi,Red,992.01
179,Maison Margiela,Shoes,W,Collab,Wide-Leg,Red,338.2
180,Rick Owens,Outerwear,U,Pre-Fall,Oversized,Navy,893.95
181,Ganni,Accessories,M,Fall/Winter,Straight,Brown,624.49
182,Acne Studios,Accessories,W,Spring/Summer,Boxy,Brown,319.22
183,Kenzo,Accessories,W,Spring/Summer,Minimal,Brown,318.56
184,Totême,Bags,M,Spring/Summer,Tailored,Green,798.03
185,Miu Miu,Tops,M,Collab,Micro,White,35.0
186,Burberry,Accessories,W,Fall/Winter,Utility,Beige,536.78
187,Zimmermann,Shoes,W,Capsule,Minimal,Denim Blue,179.24
188,Versace,Shoes,W,Spring/Summer,Tailored,Denim Blue,557.61
189,Burberry,Shoes,M,Spring/Summer,A-Line,Beige,613.46
190,AMI,Tops,U,Spring/Summer,Straight,Pink,297.74
191,Chloé,Bags,W,Fall/Winter,Straight,Green,209.16
192,Off-White,Tops,M,Fall/Winter,Utility,Green,717.06
193,Jacquemus,Tops,U,Resort,Minimal,Navy,353.8
194,Acne Studios,Bottoms,M,Pre-Fall,Slip,Black,534.08
195,Ganni,Outerwear,W,Capsule,A-Line,Green,277.76
196,Moncler,Bottoms,W,Resort,Minimal,Beige,38.39
197,Tibi,Accessories,W,Pre-Fall,Straight,Red,581.39
198,Acne Studios,Bottoms,U,Pre-Fall,Tailored,Brown,208.65
199,JW Anderson,Bottoms,W,Collab,Platform,Denim Blue,233.91
200,Prada,Bags,U,Resort,Slip,Red,731.05
201,The Row,Outerwear,M,Spring/Summer,Boxy,Black,583.26
202,Kenzo,Outerwear,W,Capsule,Sport,Black,371.44
203,Saint Laurent,Shoes,W,Capsule,Maxi,Black,543.21
204,Dries Van Noten,Outerwear,M,Spring/Summer,Cropped,Beige,347.03
205,Khaite,Shoes,W,Pre-Fall,A-Line,Metallic,35.0
206,Celine,Bags,W,Spring/Summer,Minimal,Metallic,153.54
207,Balenciaga,Dresses,M,Capsule,Micro,Black,391.75
208,Fendi,Outerwear,W,Pre-Fall,Tailored,Navy,463.6
209,Celine,Tops,M,Fall/Winter,Oversized,White,513.13
210,Totême,Dresses,W,Spring/Summer,Minimal,White,683.01
211,Marni,Accessories,M,Resort,Cropped,Brown,525.12
212,A.P.C.,Shoes,W,Spring/Summer,Platform,Beige,825.12
213,Jacquemus,Shoes,M,Capsule,Boxy,Green,629.8
214,Alexander McQueen,Dresses,W,Fall/Winter,A-Line,Black,608.25
215,Comme des Garçons,Tops,M,Pre-Fall,Boxy,Pink,362.11
216,Marni,Shoes,M,Capsule,Boxy,Pink,217.11
217,Totême,Outerwear,M,Pre-Fall,Cropped,Green,310.48
218,Stone Island,Bottoms,W,Capsule,Utility,Green,131.14
219,Ralph Lauren,Bags,U,Resort,Boxy,Black,289.99
220,Fendi,Tops,M,Pre-Fall,Cropped,Brown,270.86
221,Fendi,Shoes,M,Capsule,A-Line,Red,613.99
222,Zimmermann,Shoes,M,Resort,Boxy,Navy,446.46
223,Tory Burch,Outerwear,W,Resort,Maxi,Navy,712.21
224,JW Anderson,Bags,W,Pre-Fall,Slim,Denim Blue,664.89
225,UGG,Tops,M,Collab,Straight,Gray,230.85
226,Gucci,Accessories,W,Capsule,Wide-Leg,Black,652.72
227,The Row,Bottoms,W,Fall/Winter,Slip,Beige,280.27
228,Diesel,Shoes,U,Pre-Fall,Wide-Leg,Navy,1013.77
229,AMI,Accessories,M,Collab,Oversized,Brown,533.61
230,Off-White,Bags,W,Resort,Cropped,Navy,172.31
231,Miu Miu,Bottoms,U,Capsule,Maxi,Gray,35.0
232,Zimmermann,Tops,M,Pre-Fall,Straight,Green,377.6
233,Khaite,Shoes,M,Spring/Summer,Slip,Pink,199.92
234,Tibi,Dresses,U,Fall/Winter,A-Line,Green,371.48
235,Palm Angels,Outerwear,W,Fall/Winter,Tailored,White,595.27
236,Prada,Bottoms,W,Capsule,Boxy,Red,519.05
237,Fear of God,Accessories,U,Pre-Fall,A-Line,Brown,443.06
238,Celine,Dresses,W,Resort,Minimal,Black,555.4
239,Fear of God,Tops,W,Spring/Summer,Oversized,Pink,439.61
240,Kiko Kostadinov,Shoes,U,Pre-Fall,Tailored,Gray,376.29
241,Kenzo,Bottoms,W,Collab,Oversized,Green,489.08
242,Off-White,Accessories,U,Capsule,Slim,Metallic,108.34
243,Totême,Bottoms,W,Collab,Slip,Black,242.57
244,Palm Angels,Outerwear,U,Capsule,Minimal,Denim Blue,369.69
245,Burberry,Tops,W,Spring/Summer,Maxi,Gray,427.87
246,Tibi,Tops,M,Resort,Slim,Navy,50.42
247,Diesel,Accessories,U,Resort,Tailored,Metallic,529.96
248,Off-White,Tops,M,Pre-Fall,Utility,Green,262.04
249,Balenciaga,Bottoms,M,Fall/Winter,Slip,Navy,164.59
250,Khaite,Accessories,M,Pre-Fall,Platform,White,109.85
251,Maison Margiela,Tops,M,Fall/Winter,Straight,Green,533.95
252,Maison Margiela,Shoes,M,Pre-Fall,Maxi,Brown,293.39
253,Loewe,Accessories,W,Resort,Utility,White,471.83
254,Loewe,Accessories,M,Resort,Cropped,Gray,528.98
255,JW Anderson,Tops,M,Pre-Fall,A-Line,Red,475.2
256,Stone Island,Bottoms,M,Capsule,Cropped,Gray,559.73
257,Saint Laurent,Tops,W,Pre-Fall,Straight,Beige,228.72
258,Bottega Veneta,Shoes,W,Resort,A-Line,Gray,430.64
259,Moncler,Tops,W,Spring/Summer,Slip,Beige,120.67
260,A.P.C.,Tops,W,Capsule,Straight,Black,896.85
261,AMI,Tops,W,Spring/Summer,Tailored,Black,522.96
262,Diesel,Outerwear,M,Collab,Platform,Green,520.22
263,Totême,Shoes,M,Spring/Summer,Platform,Gray,526.3
264,Miu Miu,Tops,W,Spring/Summer,Slip,Denim Blue,242.36
265,UGG,Bottoms,M,Collab,Platform,Green,523.14
266,A.P.C.,Tops,M,Spring/Summer,Wide-Leg,Metallic,374.68
267,Prada,Bottoms,W,Collab,Micro,Gray,681.0
268,Issey Miyake,Tops,M,Pre-Fall,Platform,Red,628.28
269,Balenciaga,Bottoms,W,Fall/Winter,Minimal,Denim Blue,238.14
270,Diesel,Shoes,W,Resort,Boxy,Black,339.25
271,Maison Margiela,Tops,W,Fall/Winter,Slip,Beige,185.88
272,Chloé,Shoes,M,Spring/Summer,Maxi,Black,217.44
273,Loewe,Bottoms,W,Collab,Maxi,Navy,336.91
274,UGG,Outerwear,W,Spring/Summer,Slip,Red,474.16
275,Gucci,Outerwear,M,Collab,Platform,Pink,534.01
276,Fendi,Accessories,W,Spring/Summer,Minimal,Brown,205.52
277,Diesel,Outerwear,W,Spring/Summer,Slip,Beige,939.41
278,Fendi,Tops,M,Capsule,Utility,Beige,35.0
279,Ralph Lauren,Bags,U,Capsule,Wide-Leg,Metallic,35.0
280,Ralph Lauren,Outerwear,M,Resort,Wide-Leg,Denim Blue,223.92
281,Tory Burch,Tops,U,Spring/Summer,Wide-Leg,Denim Blue,501.12
282,Khaite,Tops,M,Resort,Sport,Red,401.82
283,Miu Miu,Bags,W,Pre-Fall,Sport,Black,348.14
284,Miu Miu,Outerwear,M,Spring/Summer,Minimal,White,363.99
285,Kiko Kostadinov,Accessories,W,Fall/Winter,Slip,Navy,516.85
286,Celine,Outerwear,M,Capsule,Maxi,Navy,544.67
287,Diesel,Dresses,M,Fall/Winter,Tailored,Red,550.15
288,Totême,Bags,M,Fall/Winter,Minimal,Beige,930.71
289,Moncler,Dresses,U,Resort,Slim,Navy,273.73
290,The Row,Dresses,W,Resort,Sport,Denim Blue,384.67
291,Ganni,Bottoms,W,Fall/Winter,Slip,Black,58.68
292,JW Anderson,Tops,M,Capsule,Boxy,Red,721.39
293,Saint Laurent,Accessories,M,Resort,Tailored,Gray,104.53
294,Jacquemus,Bottoms,M,Spring/Summer,Boxy,Metallic,81.33
295,Rick Owens,Shoes,U,Resort,Platform,Black,132.62
296,Celine,Dresses,W,Fall/Winter,Slim,Black,730.61
297,Gucci,Accessories,W,Spring/Summer,Cropped,Green,450.77
298,Fendi,Tops,W,Collab,Minimal,Brown,306.9
299,Versace,Outerwear,M,Fall/Winter,Tailored,Black,354.03
300,Diesel,Accessories,W,Spring/Summer,Micro,Brown,216.93
301,Zimmermann,Dresses,M,Pre-Fall,Oversized,Navy,519.2
302,Rick Owens,Shoes,M,Capsule,Oversized,Beige,35.0
303,Tory Burch,Shoes,W,Spring/Summer,Oversized,Red,163.97
304,Tibi,Bags,M,Resort,Slip,White,613.52
305,Marni,Bags,M,Fall/Winter,Maxi,Beige,591.49
306,Marni,Shoes,U,Spring/Summer,Minimal,Denim Blue,128.27
307,AMI,Outerwear,M,Fall/Winter,Boxy,Denim Blue,253.11
308,Off-White,Tops,M,Fall/Winter,Utility,Green,802.61
309,Prada,Outerwear,W,Fall/Winter,Wide-Leg,White,648.18
310,Palm Angels,Bags,U,Pre-Fall,Cropped,Beige,341.01
311,JW Anderson,Outerwear,U,Resort,A-Line,Navy,259.81
312,Kenzo,Bags,U,Resort,Slip,Black,457.21
313,Comme des Garçons,Shoes,W,Spring/Summer,A-Line,Beige,250.94
314,A.P.C.,Outerwear,W,Collab,Tailored,Denim Blue,708.86
315,VETEMENTS,Shoes,M,Pre-Fall,Slip,Navy,162.45
316,The Row,Dresses,U,Spring/Summer,A-Line,Black,232.06
317,Khaite,Outerwear,M,Resort,Wide-Leg,Gray,452.41
318,Loewe,Bags,M,Pre-Fall,A-Line,Pink,384.39
319,Bottega Veneta,Dresses,W,Spring/Summer,Boxy,Navy,376.44
320,Jacquemus,Bottoms,W,Pre-Fall,Wide-Leg,Beige,521.54
321,Burberry,Accessories,W,Spring/Summer,Sport,Black,331.94
322,Maison Margiela,Tops,W,Spring/Summer,Utility,Gray,464.8
323,Comme des Garçons,Tops,W,Spring/Summer,Minimal,Red,403.58
324,JW Anderson,Accessories,W,Fall/Winter,Platform,Denim Blue,405.89
325,Kiko Kostadinov,Tops,M,Capsule,Slip,Black,543.12
326,Fear of God,Bags,M,Pre-Fall,Slip,Metallic,102.19
327,Alexander McQueen,Tops,M,Capsule,Wide-Leg,Brown,186.63
328,Saint Laurent,Bags,W,Spring/Summer,Maxi,Denim Blue,739.79
329,Zimmermann,Bottoms,W,Capsule,A-Line,Brown,361.52
330,Alexander McQueen,Shoes,M,Fall/Winter,Sport,Black,575.4
331,JW Anderson,Shoes,U,Resort,Oversized,Black,151.7
332,Burberry,Bottoms,U,Pre-Fall,Slip,Red,474.42
333,Bottega Veneta,Dresses,U,Pre-Fall,Platform,Black,399.72
334,Alexander McQueen,Shoes,U,Pre-Fall,Minimal,Denim Blue,463.05
335,Chloé,Outerwear,M,Fall/Winter,Straight,Black,228.63
336,Dries Van Noten,Accessories,M,Spring/Summer,Wide-Leg,Gray,521.47
337,Moncler,Bags,W,Spring/Summer,Tailored,Black,561.02
338,AMI,Tops,M,Pre-Fall,Micro,White,756.75
339,Prada,Tops,M,Resort,Tailored,Navy,252.71
340,Kenzo,Bottoms,W,Capsule,Slip,Pink,391.72
341,Zimmermann,Bags,W,Pre-Fall,A-Line,Beige,285.55
342,Burberry,Dresses,W,Capsule,Tailored,Beige,35.0
343,Rick Owens,Tops,M,Spring/Summer,Wide-Leg,White,355.15
344,Palm Angels,Bags,M,Spring/Summer,Tailored,Metallic,384.52
345,The Row,Tops,M,Collab,A-Line,Navy,472.03
346,Palm Angels,Shoes,W,Fall/Winter,Sport,Gray,418.16
347,Balenciaga,Shoes,M,Resort,Wide-Leg,Black,68.91
348,Bottega Veneta,Outerwear,U,Spring/Summer,Tailored,Green,354.7
349,Khaite,Dresses,W,Collab,Sport,Black,593.71
350,Jacquemus,Dresses,U,Spring/Summer,Sport,Brown,315.02
351,Marni,Accessories,W,Capsule,Minimal,Metallic,317.85
352,The Row,Tops,M,Fall/Winter,A-Line,Brown,35.0
353,Off-White,Bottoms,M,Pre-Fall,Minimal,White,195.18
354,Zimmermann,Accessories,W,Capsule,Minimal,Metallic,494.19
355,Ganni,Outerwear,W,Capsule,Minimal,White,417.54
356,Kiko Kostadinov,Accessories,W,Capsule,Micro,Black,718.26
357,Ralph Lauren,Bottoms,M,Spring/Summer,Slip,Brown,534.76
358,Khaite,Bottoms,W,Spring/Summer,A-Line,Metallic,510.8
359,Fear of God,Accessories,U,Spring/Summer,Sport,Metallic,746.66
360,Saint Laurent,Bottoms,U,Resort,Utility,Red,329.46
361,JW Anderson,Tops,M,Pre-Fall,Straight,Beige,713.09
362,JW Anderson,Tops,W,Collab,Utility,White,321.74
363,Marni,Shoes,M,Resort,Minimal,Navy,522.21
364,Tibi,Shoes,M,Pre-Fall,Maxi,Black,321.0
365,Khaite,Tops,W,Fall/Winter,Utility,Black,197.86
366,Totême,Bottoms,W,Collab,Maxi,Red,45.71
367,Ralph Lauren,Tops,M,Spring/Summer,Maxi,White,231.69
368,Fendi,Bags,W,Spring/Summer,Sport,Navy,537.48
369,Kiko Kostadinov,Bottoms,W,Fall/Winter,Slip,Beige,383.89
370,JW Anderson,Shoes,U,Resort,Cropped,Red,523.88
371,Comme des Garçons,Accessories,M,Capsule,Minimal,Black,580.83
372,Jacquemus,Tops,U,Spring/Summer,Slip,Red,634.78
373,Bottega Veneta,Accessories,U,Fall/Winter,Boxy,White,512.63
374,Acne Studios,Bottoms,W,Spring/Summer,Sport,Gray,381.23
375,Celine,Shoes,U,Spring/Summer,Cropped,Denim Blue,619.38
376,Off-White,Tops,W,Pre-Fall,Tailored,White,35.0
377,Issey Miyake,Shoes,M,Spring/Summer,Sport,Green,432.46
378,Rick Owens,Shoes,M,Fall/Winter,Wide-Leg,Pink,330.72
379,Ganni,Dresses,M,Collab,Oversized,Denim Blue,117.64
380,Rick Owens,Bags,M,Fall/Winter,Utility,White,294.72
381,Diesel,Bottoms,W,Resort,Micro,Denim Blue,314.91
382,Loewe,Outerwear,U,Capsule,Platform,Gray,335.89
383,Kenzo,Accessories,W,Collab,Cropped,Red,522.92
384,Miu Miu,Dresses,M,Collab,Slip,Denim Blue,410.65
385,Rick Owens,Shoes,W,Pre-Fall,Maxi,Navy,548.53
386,Acne Studios,Dresses,U,Collab,Maxi,Navy,517.67
387,AMI,Outerwear,U,Pre-Fall,Straight,Pink,575.65
388,Alexander McQueen,Tops,W,Spring/Summer,Tailored,Brown,498.24
389,Saint Laurent,Outerwear,M,Pre-Fall,Slim,Beige,71.36
390,Bottega Veneta,Shoes,M,Spring/Summer,Minimal,Red,35.0
391,Saint Laurent,Bags,U,Resort,Tailored,Brown,395.98
392,Marni,Shoes,W,Spring/Summer,Micro,Gray,676.44
393,Balenciaga,Bags,W,Spring/Summer,Micro,Brown,370.41
394,Off-White,Tops,W,Pre-Fall,Wide-Leg,Beige,406.72
395,Chloé,Outerwear,W,Pre-Fall,A-Line,Denim Blue,288.8
396,AMI,Bottoms,W,Pre-Fall,Tailored,Denim Blue,200.66
397,Miu Miu,Tops,M,Spring/Summer,Tailored,Denim Blue,390.44
398,Diesel,Tops,W,Fall/Winter,Boxy,Brown,317.46
399,Fear of God,Tops,W,Collab,Micro,Beige,35.0
400,Versace,Tops,W,Collab,Sport,Navy,405.5
401,Palm Angels,Shoes,U,Resort,Minimal,Brown,81.74
402,Tibi,Dresses,M,Capsule,Boxy,Brown,144.44
403,Celine,Bags,W,Spring/Summer,Sport,Beige,624.3
404,Dries Van Noten,Accessories,M,Fall/Winter,Minimal,Pink,618.96
405,Maison Margiela,Tops,W,Fall/Winter,Straight,Pink,642.09
